FORMAT STUD1_CASH_RECEIPT STD ,
System, LedgerCode, DocRef, LineRef, RcptType, AllocRef, RevDocRef, RevLineRef, RcptDt, Amt, DrCrInd, UsrFld1, UsrFld2, UsrFld3, UsrFld4, UsrFld5
$S1CSR,14181539,BPCBA0747884400,1,$PAY,10609516,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,14184105,BPCBA0647864745,1,$PAY,10560520,,,17/02/2023,-3112.00,CR,ST,,,,
$S1CSR,14184105,BPCBA0647865071,1,$PAY,10459222,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,14189397,BPCBA0147733410,1,$PAY,10406316,,,17/02/2023,-12352.37,CR,ST,,,,
$S1CSR,14217323,BPBCA3319006396,1,$PAY,10398755,,,17/02/2023,-24173.00,CR,ST,,,,
$S1CSR,14222246,BPBCA3319006353,1,$PAY,10416931,,,17/02/2023,-17334.25,CR,ST,,,,
$S1CSR,14225080,BPCBA0147692451,1,$PAY,10398838,,,17/02/2023,-17439.87,CR,ST,,,,
$S1CSR,14230395,BPANZ6734915415,1,$PAY,10397083,,,17/02/2023,-23058.00,CR,ST,,,,
$S1CSR,14242085,BPWBC73096094,1,$PAY,10432268,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,14264725,BP114616227174,1,$PAY,10448246,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,14264725,BP114616275183,1,$PAY,10539320,,,17/02/2023,-5102.00,CR,ST,,,,
$S1CSR,14276556,BPNAB3021398408,1,$PAY,10195350,,,17/02/2023,-157.50,CR,ST,,,,
$S1CSR,14287419,BPCBA0147578992,1,$PAY,9780665,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,14292712,BPANZ6847166353,1,$PAY,10645536,,,17/02/2023,-3596.62,CR,ST,,,,
$S1CSR,14338077,BPCBA0247785561,1,$PAY,10403876,,,17/02/2023,-20688.00,CR,ST,,,,
$S1CSR,14342315,BPCBA0747892571,1,$PAY,10416556,,,17/02/2023,-14170.00,CR,ST,,,,
$S1CSR,14354031,BPHBA5407024435,1,$PAY,10267468,,,17/02/2023,-24173.00,CR,ST,,,,
$S1CSR,14357002,BPCBA0547839573,1,$PAY,10399193,,,17/02/2023,-21673.00,CR,ST,,,,
$S1CSR,14359905,BPBCA3319006357,1,$PAY,10634844,,,17/02/2023,-24173.00,CR,ST,,,,
$S1CSR,14362406,BPCBA0547837655,1,$PAY,10397231,,,17/02/2023,-21563.00,CR,ST,,,,
$S1CSR,14370249,BPCBA0147605636,1,$PAY,10407635,,,17/02/2023,-18479.00,CR,ST,,,,
$S1CSR,14376925,BPCBA0147577410,1,$PAY,10412107,,,17/02/2023,-24433.00,CR,ST,,,,
$S1CSR,14397347,BPANZ4996606662,1,$PAY,9637315,,,17/02/2023,-314.50,CR,ST,,,,
$S1CSR,24424893,BPING0000396776,1,$PAY,10247231,,,17/02/2023,-160.25,CR,ST,,,,
$S1CSR,24517207,BPWBC07960594,1,$PAY,10465362,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24519819,BPANZ0026960752,1,$PAY,10557370,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24564674,BPWBC69823344,1,$PAY,10424436,,,17/02/2023,-5004.00,CR,ST,,,,
$S1CSR,24570335,BPCBA0747881594,1,$PAY,10585239,,,17/02/2023,-3111.00,CR,ST,,,,
$S1CSR,24570335,BPCBA0747882295,1,$PAY,10637006,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24570929,BPWBC35054634,1,$PAY,10647860,,,17/02/2023,-3107.00,CR,ST,,,,
$S1CSR,24571539,BPCBA0147548444,1,$PAY,10424048,,,17/02/2023,-163.00,CR,ST,,,,
$S1CSR,24571539,BPCBA0147557571,1,$PAY,10494742,,,17/02/2023,-5004.00,CR,ST,,,,
$S1CSR,24577393,BPANZ1649250499,1,$PAY,10406957,,,17/02/2023,-15959.00,CR,ST,,,,
$S1CSR,24595151,BPCBA0147526566,1,$PAY,10411492,,,17/02/2023,-18839.00,CR,ST,,,,
$S1CSR,24601332,BPCNA4103973699,1,$PAY,10397369,,,17/02/2023,-18479.00,CR,ST,,,,
$S1CSR,24610507,BPCBA0147535417,1,$PAY,10410605,,,17/02/2023,-13493.41,CR,ST,,,,
$S1CSR,24613349,BPCBA0647864359,1,$PAY,10412772,,,17/02/2023,-1000.00,CR,ST,,,,
$S1CSR,24615573,BPCBA0747893051,1,$PAY,10399756,,,17/02/2023,-10988.32,CR,ST,,,,
$S1CSR,24699338,BPCBA0147597448,1,$PAY,10480906,,,17/02/2023,-163.00,CR,ST,,,,
